
vinc,vict|胜，征服
much-criticized,mʌtʃ-'krɪtɪsaɪzd,adj .广受批评的
diacritic,ˌdaɪə'krɪtɪk,adj. 区别音符的；可区别的 =diacritical. n. 区别音符
diacritical,ˌdaɪə'krɪtɪkl,adj. 可区分的 =diacritic.
hypocrite,'hɪpəkrɪt,n. 伪君子；伪善者
hypocritical,ˌhɪpə'krɪtɪkl,adj. 伪善的
hypocritically,ˌhɪpə'krɪtɪkli,adv. 虚伪地
hypocrisy,hɪ'pɒkrəsi,n. 伪善
criteria,kraɪ'tɪəriə,n. 标准；尺度；准则 名词criterion的复数形式.
criterial,kraɪ'tɪəriən,n. 标准；准则
criterion,kraɪ'tɪəriən,n. 标准；准则
criterion-based,krai'tiəriən-beɪst,adj.基于 准则的
hematocrit,'hemətəʊkrɪt,n. 血球比容计；血球密度

sat(set),satis,satur|足，满，饱
sate,seɪt,vt. 使心满意足；过份地给与
sated,seɪt,vt. 使心满意足；过份地给与
satiety,sə'taɪəti,n. 饱足；满足
satiable,'seɪʃɪəbl,adj. 可满足的
insatiable,ɪn'seɪʃəbl,adj. 不知足的；贪求无厌的
insatiably,ɪn'seɪʃəbli,adv. 不知足地；贪得无厌地
insatiability,ɪnseɪʃjə'bɪlɪtɪ,n. 不知足；贪求无厌
satiate,'seɪʃieɪt,v. 使饱足；使厌腻；充分满足 adj. 饱足的；厌腻的
satiated,'seɪʃɪeɪtɪd,adj.  充分满足的； 对 ... 厌倦的； 生腻的 动词satiate的过去式和过去分词形式
satiation,ˌseɪʃi'eɪʃn,n. (充分或过度)满足
insatiate,ɪn'seɪʃɪɪt,adj. 永不满足的；贪得无厌的
satisfy,'sætɪsfaɪ,v. 使满意；满足；使信服；清偿
satisfied,'sætɪsfaɪd,adj. 感到满意的
unsatisfied,ʌn'sætɪsfaɪd,adj. 不满足的；不满意的 动词unsatisfy的过去式和过去分词.
self-satisfied,'self'sætisfaid,adj. 自鸣得意的；自满的
satisfying,'sætɪsfaɪɪŋ,adj. 令人满意的；圆满的；可相信的 动词satisfy的现在分词.
unsatisfying,ˌʌn'sætɪsfaɪɪŋ,adj. 不能令人满意的
soul-satisfying,səʊl-'sætɪsfaɪɪŋ,adj.心满意足的
satisfyingly,'sætɪsfaɪɪŋli,adv. 令人满意地
satisfaction,ˌsætɪs'fækʃn,n. 满意；赔偿；乐事；妥善处理；确信
self-satisfaction,'self,sætis'feikʃən,n. 自满；自傲
satisfiable,'sætɪsˌfaɪəbl,adj. 可以满足的
satisfactory,ˌsætɪs'fæktəri,adj. 令人满意的
satisfactorily,ˌsætɪs'fæktərəli,adv. 满意地；圆满地
unsatisfactory,ˌʌnˌsætɪs'fæktəri,adj. 不能令人满意的
dissatisfy,dɪs'sætɪsfaɪ,vt. 使不满
dissatisfied,dɪs'sætɪsfaɪd,adj. 不满意的；不高兴的 动词dissatisfy的过去式和过去分词.
dissatisfaction,ˌdɪsˌsætɪs'fækʃn,n. 不满
dissatisfactory,ˌdɪsˌsætɪs'fæktərɪ,adj. 不满意的；不满足的；不够理想的
saturant,'sætʃərənt,adj. 使饱和的 n. 饱和剂
saturate,'sætʃəreɪt,v. 使浸透；使充满；使饱和 adj. 浸透的；饱和的；深颜色的
saturation,ˌsætʃə'reɪʃn,n. 饱和；饱和度；浸透
saturable,'sætʃərəbl,adj. 可饱和的(可浸透的)
saturated,'sætʃəreɪtɪd,adj. 饱和的；渗透的；深颜色的
unsaturated,'ʌn'sætʃəreɪtɪd,adj. 不饱和的
supersaturate,suːpə'sætʃəreɪt,v. 使过度饱和
desaturation,diːsætjʊ'reɪʃən,n. 减饱和作用(饱和度减小；冲淡；稀释；褪彰)
polyunsaturated,ˌpɒlɪʌn'sætʃəˌreɪtɪd,adj. [化]多未饱和的(指有一个以上的双键或三键有机化合物的；还能溶解更多溶质的)
media-saturated,ˈmi:diə-'sætʃəreɪtɪd,adj.媒体饱和的
asset,'æset,n. 资产；优点；有用的东西
asset-based,'æsetb'eɪst,资产为本
asset-backed,'æset-bækt,adj.具有资产作保证的
asset-building,'æsetb'ɪldɪŋ,资产建设

vol,volunt|意志，意愿
volunteer,ˌvɒlən'tɪə(r),n. 志愿者；(自行生长的)植物 v. (自愿)做
volunteerism,ˌvɒlən'tɪərɪzəm,n. 志愿劳动力的使用
voluntary,'vɒləntri,adj. 自愿的；志愿的 n. (教堂礼拜仪式前后或进行期间的)乐器独奏
voluntarily,'vɒləntrəli,adv. 自动地；以自由意志
involuntary,ɪn'vɒləntri,adj. 非自愿的；无意的；不由自主的
involuntarily,ɪn'vɒləntrəli,adv. 不知不觉地；无意识地
voluntarism,'vɒləntərɪzəm,n. 自愿主义；唯意志论
voluntariness,'vɔːlənˌtərɪnɪs,n. 任意；自由意志；随便
voluntaristic,'vɒləntərɪzəm,n. 自愿主义；唯意志论
all-volunteer,'ɔːlvɒlənt'iər,adj. 完全自愿的
volition,və'lɪʃn,n. 决定；自主；意志力
volitional,və'lɪʃnəl,adj. 意志的；凭意志的；有意志的
volitive,'vɒlɪtɪv,adj. 意志的；发自意志的；表示意志的
benevolence,bə'nevələns,n. 善意；慈悲；善行
benevolent,bə'nevələnt,adj. 仁慈的；乐善好施的
benevolently,bə'nevələntli,adv. 仁慈地；慷慨地
malevolence,mə'levələns,n. 恶意；狠毒
malevolent,mə'levələnt,adj. 有恶意的；恶毒的
malevolently,mə'levələntli,adv. 怀恶意地
voluptuous,və'lʌptʃuəs,adj. 激起性欲的；沉溺酒色的；撩人的
voluptuously,və'lʌptʃuəsli,adv. 肉感地
voluptuousness,və'lʌptʃuəs,adj. 激起性欲的；沉溺酒色的；撩人的

main,man|停驻
manse,mæns,n. 牧师住宅；宽敞庄重的住宅；房主的住宅
mansion,'mænʃn,n. 大厦；宅邸；公寓
manor,'mænə(r),n. (封建领主的)领地；庄园
manorial,mə'nɔːriəl,adj. 庄园的
permanent,'pɜːmənənt,adj. 永久的；持久的 n.  烫发
permanently,'pɜːmənəntli,adv. 永久地
permanence,'pɜːmənəns,n. 永久；持久
permanency,'pɜːmənənsi,n. 永久；永久的事物
impermanent,ɪm'pɜːmənənt,adj. 暂时的；非永久的
impermanence,ɪm'pɜːmənəns,n. 非永久性；暂时性
semi-permanent,'semɪp'ɜːmənənt,n. 半永久
non-permanent,'nɒnp'ɜːmənənt,非永久的
remain,rɪ'meɪn,v. 剩余；逗留；留下；依然；保持 n. 剩余物；遗迹；残骸
remains,rɪ'meɪnz,n. 剩余物；遗迹；遗体
remaining,rɪ'meɪnɪŋ,adj. 剩余的
remainder,rɪ'meɪndə(r),n. 剩余物；其余的人；[数]余数 vt. 廉价出售
immanent,'ɪmənənt,adj. 内在的；固有的；无所不在的
immanence,'ɪmənəns,n. 包含；内在性；固有性
remnant,'remnənt,n. 残余；残剩余；残存者；零头 adj. 剩余的
remanent,'remənənt,adj. 剩余的，残留的

lys,lyt|分，解，溶，散
analyse,'ænəlaɪz,vt. 分析；细察
analyst,'ænəlɪst,n. 分析家
analyser,'ænəlæɪzə,n. 分析程序；分析者；分析器
analysis,ə'næləsɪs,n. 分析；解析
self-analysis,'selfə'nælisis,n. 自我心理分析
meta-analysis,'metəən'æləsɪs,荟萃分析；元分析（对以往的研究结果进行系统的定量分析）
reanalysis,'riːnələsɪs,再分析
analysand,ə'nælɪzænd,n. 接受精神分析的人
analyzable,'ænəˌlaɪzəbl,可被分析的
cryptanalyst,krɪp'tænəlɪst,n. 密码破译者 密码专家.
psychoanalyst,ˌsaɪkəʊ'ænəlɪst,n. 精神分析学家
psychoanalysis,ˌsaɪkəʊə'næləsɪs,n. 心理分析
analyte,ænə'lɪt,n. 分析物
analytic,ˌænə'lɪtɪk,adj. 分析的；分解的
analytics,ˌænə'lɪtɪks,n. 分析学；解析学；分析论
analytical,ˌænə'lɪtɪkl,adj. 分析的；解析的；善于解析的
analytically,ˌænə'lɪtɪkli,adv. 分析地
psychoanalytic,ˌsaɪkəʊˌænə'lɪtɪk,adj. 心理分析的 =psychoanalytical.
psychoanalytical,ˌsaɪkəʊə'næləsɪs,n. 心理分析
meta-analytic,metəə'lɪtɪk,adj.元分析的
paralyse,'pærəlaɪz,v. 瘫痪；麻痹；不能正常活动；无力 =paralyze（美）
paralysis,pə'ræləsɪs,n. 瘫痪；麻痹
paralysation,pærəlaɪ'zeɪʃən,n. 无力(关闭)
paralytic,ˌpærə'lɪtɪk,adj. 瘫痪的；麻痹的 n. 瘫痪病人；麻痹患者
electrolyse,ɪlektrəlaɪz,n. 电解(电蚀；电分析)
electrolyte,ɪ'lektrəlaɪt,n. 电解物；电解质；电解液
electrolytic,ɪˌlektrə'lɪtɪk,adj. 电解的；由电解产生的
electrolysis,ɪˌlek'trɒləsɪs,n. 电解；电蚀除毛（或痣、疣等)
catalyst,'kætəlɪst,n. 催化剂；刺激因素
catalysis,kə'tæləsɪs,n. 催化作用
catalytic,ˌkætə'lɪtɪk,adj. 催化的；接触反应的
lytic,'lɪtɪk,adj. 促使细胞溶解的；细胞溶素的
lysis,'laɪsɪs,n. [生化]溶解；病势减退；消散
dialysis,ˌdaɪ'æləsɪs,n. 透析；渗析
hemolytic,hiː'mɒlɪtɪk,adj. 溶血的
hemodialysis,ˌhiːmədaɪ'ælɪsɪs,n. [医]血液透析；血液渗析
paralyze,'pærəlaɪz,vt.  使 ... 瘫痪； 使目瞪口呆 =paralyse（英）
paralyzed,'pærəlaɪzd,adj. 瘫痪的；麻痹的 动词paralyze的过去式和过去分词.
paralyzing,'pærəlaɪz,vt.  使 ... 瘫痪； 使目瞪口呆 =paralyse（英）
paralympic,pærə'lɪmpɪk,adj. 残奥会的
Paralympics,ˌpærə'lɪmpɪks,n. (复)残奥会
lysol,'laɪsɒl,n. LYSOL, 是利洁时集团的注册商标，主要生产清洁、洗涤制剂及消毒产品. 该商标指定使用商品如下：（包括但不限于下列商品）浸清洁剂的清洁布; 浸有清洁制剂的纸巾; 预润湿浸渍餐具洗涤剂的纸巾; 浸清洁剂的湿巾; 浸化妆水的薄纸; 浸有皮肤清洁液的纸巾; 含洁肤剂纸巾; 浸卸妆液的薄纸; 化妆粉纸; 化妆用除油纸;梳洗用制剂; 肥皂; 研磨剂; 非医用漱口剂; 空气芳香剂; 抛光制剂; 香精油; 香; 个人或动物用除臭剂; 清洁制剂; 清洁制剂（家庭机关用）; 浸药液的薄纸; 一次性消毒湿巾;杀真菌剂; 空气除臭剂; 净化剂; 牲畜用洗涤剂（杀虫剂）; 杀虫剂; 灭菌棉; 消毒剂; 医用营养品; 消毒纸巾; 牙填料; 防腐和消毒清洁品及喷雾剂
lysimeter,laɪ'sɪmɪtə,n. 渗水计(测渗计；液度估定计)
thermolysis,θə'mɒləsɪs,n. 热分解作用(散热作用)
urinalysis,ˌjʊərɪ'nælɪsɪs,n. 尿分析；验尿
pyrolysis,paɪ'rɒlɪsɪs,n. 热解；高温分解
hydrolysis,haɪ'drɒlɪsɪs,n. 水解
proteolytic,prəʊtɪə'lɪtɪk,adj. 解朊作用的；蛋白水解作用
haemolytic,hiːməʊ'lɪtɪk,adj. 溶血性的
fibrinolytic,ˌfaɪbrɪnəʊ'laɪsɪs,n. [生]纤维蛋白溶解
haemodialysis,hiːməʊdaɪ'ælɪsɪs,n. [医]血液透析；血液渗析

val|强
valid,'vælɪd,adj. 有效的；有根据的；合法的；正当的
validly,'vælɪdli,adv. 正当地；妥当地
validity,və'lɪdəti,n. 合法性；有效性；正确性
invalid,ɪn'vælɪd,adj. 无效的；病弱的 n. 病人；残疾者 vt. 退役；遣送回家
invalidity,ˌɪnvə'lɪdəti,n. 无效；无价值；病弱
invalidism,'ɪnvəlɪdɪzəm,n. 病弱；病身
validate,'vælɪdeɪt,vt. 使生效；证实；确认；验证
validated,'vælɪdeɪt,vt. 使生效；证实；确认；验证
validation,ˌvælɪ'deɪʃn,n. 确认；批准；验证
validating,'vælɪdeɪtɪŋ,adj. 验证的；证实的 动词validate的现在分词形式.
invalidate,ɪn'vælɪdeɪt,vt. 使无效；使作废
invalidation,ɪnˌvælɪ'deɪʃn,n. 无效；失效
cross-validation,k'rɒsvælɪd'eɪʃn,n. 交叉验证，交叉检验；交叉效度
value,'væljuː,n. 价值；价格；重要性；(pl)价值观；数值 v. 估价；重视；评价
valued,'væljuːd,adj. 宝贵的；受到重视的；受到尊重的 动词value的过去式和过去分词形式.
valuing,'væljuː,n. 价值；价格；重要性；(pl)价值观；数值 v. 估价；重视；评价
valueless,'væljuːləs,adj. 无价值的；不值钱的；不足道的
invaluable,ɪn'væljuəbl,adj. 无价的；非常珍贵的
valuable,'væljuəbl,adj. 贵重的；宝贵的 n. (pl.)贵重物品
valuables,'væljuəblz,n. 贵重物品；珍贵物品 名词valuable的复数形式.
invaluable,ɪn'væljuəbl,adj. 无价的；非常珍贵的
revalue,ˌriː'væljuː,v. 再评价；再估价；使（货币）升值
overvalue,ˌəʊvə'væljuː,vt.  对 ... 估价过高； 过分重视
overvalued,ˌəʊvə'væljʊd,adj. 定价过高的；高估的 动词overvalue的过去式和过去分词形式.
overvaluation,əʊvəvæljʊ'eɪʃən,n. 估计过高；高估
undervalue,ˌʌndə'væljuː,v. 低估价值；看轻
undervalued,ˌʌndə'væljuː,v. 低估价值；看轻
valuate,'væljʊeɪt,vt.  对 ... 作估价
valuation,ˌvælju'eɪʃn,n. 评价；估价
revaluation,ˌriːvælju'eɪʃn,n. 再评价
undervaluation,'ʌndəˌvæljʊ'eɪʃən,n.  低估 ... 之价值； 低估； 看轻
transvaluation,ˌtrænsvæljʊ'eɪʃən,n. 重新评估
eigenvalue,'aɪdʒənˌvæljuː,n. [数]特征值
value-free,'væljuː-fri:,不涉及价值；纯客观的
value-neutral,'væljuːnj'uːtrəl,不倾向于任何一方价值标准的,不涉及价值判断的
value-based,'væljuːb'eɪst,转型时期
values-based,'væljuː-beɪst,adj.价值为本的
value-laden,'væljuː-ˈleɪdn,价值偏向的
family-values,ˈfæməli-'væljʊz,n.家庭价值观
cash-value,kæʃ-'væljuː,n.货币价值；以现金计的价值
high-value,'haɪv'æljuː,高位值
middle-value,ˈmɪdl-'væljuː,n.中间值
low-value,'ləʊv'æljuː,低位值
truth-value,t'ruːθv'æljuː,真值
t-value,ti-'væljuː,n. t值
p-value,pi-'væljuː,n.假定值；假设机率
devalue,ˌdiː'væljuː,v. 贬值；降低价值
devalued,ˌdiː'væljuː,v. 贬值；降低价值
devaluing,ˌdiː'væljuː,v. 贬值；降低价值
devaluation,ˌdiːˌvælju'eɪʃn,n. 货币贬值
evaluate,ɪ'væljueɪt,vt. 评价；评估
evaluative,ɪ'væljuətɪv,adj. 可估价的
evaluator,ɪ'væljʊeɪtə(r),n. 评价者
evaluation,ɪˌvælju'eɪʃn,n. 估价；评价
evaluating,ɪ'væljʊeɪtɪŋ,n. 评估 动词evaluate的现在分词.
evaluable,ɪ'væljʊəbl,adj. 可估值的；可评价的
re-evaluate,ˈri:ɪˈvæljʊeɪt,再评价； 重新评价
re-evaluation,reɪ-ɪˌvæljʊˈeɪʃən,再评价, 重新评价
self-evaluation,'selfɪvæljʊ'eɪʃn,自我评价
valo,'vælə,瓦洛
valour,'vælə(r),n. 英勇；勇猛 =valor(美).
valorous,'vælərəs,adj. 勇敢的；勇武的；刚勇的
valorization,ˌvælərə'zeɪʃən,n. 政府稳定物价的措施
convalesce,ˌkɒnvə'les,v. 渐渐康复；渐愈
convalescent,'kɒnvə'lesnt,adj. 恢复期的；渐愈的；调养的
convalescence,ˌkɒnvə'lesns,n. 康复；恢复期；快愈期
ambivalence,æm'bɪvələns,n. 矛盾情绪；矛盾心理
ambivalent,æm'bɪvələnt,adj. 矛盾的；摇摆不定的
ambivalently,æm'bɪvələntli,adv. 有矛盾感情的; 矛盾的; 模棱两可的；含糊不定的
prevalent,'prevələnt,adj. 流行的；普遍的
prevalence,'prevələns,n. 传播；流行；普及
valence,'veɪləns,n. [化]化合价；[语]配价；[免疫学]效价；[心理学]抗体效价；某物结合、反映或作用于另一物的能力
covalent,ˌkəʊ'veɪlənt,adj. 共有原子价的；共价的
polyvalent,ˌpɒli'veɪlənt,adj. [化]多价的
multivalent,ˌmʌltɪ'veɪlənt,adj. 多原子价的；多价的；有诸多意义的 n. 多价体
valiant,'væliənt,adj. 勇敢的；英勇的 n. 勇士；勇敢的人
valiantly,'væliəntli,adv. 勇敢地；英勇地
available,ə'veɪləbl,adj. 可利用的；可得到的；有空的；有效的；【政】有资格的，适合的
valentine,'væləntaɪn,n. 情人；情人节礼物；(姓氏)瓦伦丁
valerian,və'lɪəriən,n. 缬草属植物；缬草根茎采制之镇静剂
valise,və'liːz,n. 手提箱；旅行袋

divid,divis|分
divide,dɪ'vaɪd,vt. 划分；隔开；分割；[数]除 vi. 分裂；分开 n. 分水岭；分歧；分
n.,地理,分水岭，分水线
dividing,dɪ'vaɪdɪŋ,adj. 区分的；起划分作用的 动词divide的现在分词.
divider,dɪ'vaɪdə(r),n. 除法器；分配物；分频器 （复数）dividers: 双脚规；分线规.
dividend,'dɪvɪdend,n. 股息；红利；被除数；彩金；回报
divided,dɪ'vaɪdɪd,adj. 意见分歧的；分裂的 动词divide的过去式及过去分词.
undivided,ˌʌndɪ'vaɪdɪd,adj. 专一的；没分开的
redivide,'riːdɪ'vaɪd,vt. 再分配(再区分)
subdivide,'sʌbdɪvaɪd,v. 细分；再划分；分小类
subdividing,sʌbdɪ'vaɪdɪŋ,分小块
subdivided,'sʌbdɪvaɪd,v. 细分；再划分；分小类
subdivision,ˌsʌbdɪ'vɪʒn,n. 细分；分部；再分的部分
subdivisible,ˌsʌbdɪ'vɪzəbl,adj. 可以再分的；可以细别的
divide-and-rule,dɪ'vaɪd'ændr'uːl,分割统治
divisor,dɪ'vaɪzə(r),n. 除数
division,dɪ'vɪʒn,n. 划分；除法；部门；分开；师（军队）
divisional,dɪ'vɪʒənl,adj. 部门的；分割的；师的
subdivision,ˌsʌbdɪ'vɪʒn,n. 细分；分部；再分的部分
division-leading,dɪ'vɪʒ(ə)n-ˈli:dɪŋ,adj.赛区领头的
upper-division,ˈʌpə(r)-dɪ'vɪʒ(ə)n,n. （器官、赛区、等级）上部分，大三或大四的（必修课等）
divisive,dɪ'vaɪsɪv,adj. 不和的；分裂的；区分的
divisiveness,dɪ'vaɪsɪv,adj. 不和的；分裂的；区分的
divisible,dɪ'vɪzəbl,adj. 可分的；可割的；可除尽的
indivisible,ˌɪndɪ'vɪzəbl,adj. 不可分割的；不可分裂的；[数]不能被整除的
divisibility,dɪˌvɪzɪ'bɪlɪtɪ,n. [数]可除性；可约性
indivisibility,ˌɪndɪˌvɪzə'bɪləti,n. 不可分割；[数]不能除尽
indivisible,ˌɪndɪ'vɪzəbl,adj. 不可分割的；不可分裂的；[数]不能被整除的
indivisibility,ˌɪndɪˌvɪzə'bɪləti,n. 不可分割；[数]不能除尽
individual,ˌɪndɪ'vɪdʒuəl,adj. 单独的；一个人的；独有的 n. 个人；个体
individually,ˌɪndɪ'vɪdʒuəli,adv. 个别地；单独地；独特地
individuality,ˌɪndɪˌvɪdʒu'æləti,n. 个性；个人；特色
individualism,ˌɪndɪ'vɪdʒuəlɪzəm,n. 个人主义
individualist,ˌɪndɪ'vɪdʒuəlɪst,n. 个人主义者
individualistic,ˌɪndɪˌvɪdʒuə'lɪstɪk,adj. 个人主义的
individualize,ˌɪndɪ'vɪdʒuəlaɪz,vt. 使具有个性；个别对待；具体化
individualized,ˌɪndɪ'vɪdʒuəlaɪz,vt. 使具有个性；个别对待；具体化
individualization,ˌɪndɪvɪdʒuəlaɪ'zeɪʃn,n. 差别对待；个性化
individual-level,ˌɪndɪˈvɪdʒʊəl-ˈlevl,n.个体层面
intra-individual,intrə,indi'vidjuəl,adj.个体内的
inter-individual,ˈɪntə(r)ˌɪndɪˈvɪdʒʊəl,adj.个体间的
individuate,ˌɪndɪ'vɪdʒueɪt,v. 使个性化；使具特色
individuated,ˌɪndɪ'vɪdʒueɪt,v. 使个性化；使具特色
individuation,ɪndɪˌvɪdjʊ'eɪʃən,n. 赋予个性；个性化

mort,mors,mor|死
mortal,'mɔːtl,adj. 致命的；终有一死的；不共戴天的；极度的 n. 凡人
mortally,'mɔːtəli,adv. 致命地
mortality,mɔː'tæləti,n. 死亡率；死亡数目；必死性
infant-mortality,ˈɪnfənt-mɔː'tælɪtɪ,n.婴儿死亡率，早期失效；早期故障期
immortal,ɪ'mɔːtl,adj. 不朽的；永世的 n. 不朽的人物；神
immortality,ˌɪmɔː'tæləti,n. 不朽；永生
immortalize,ɪ'mɔːtəlaɪz,vt. 使不朽；使名垂千古
immortalizing,ɪ'mɔːtəlaɪz,vt. 使不朽；使名垂千古
mortify,'mɔːtɪfaɪ,v.  使 ... 受辱； 抑制
mortified,'mɔːtɪfaɪ,v.  使 ... 受辱； 抑制
mortifying,ˈmɔːrtɪfaɪɪŋ,adj. 痛心的；令人感到羞愧的 动词mortify的现在分词形式.
mortification,ˌmɔːtɪfɪ'keɪʃn,n. 耻辱；屈辱；禁欲；[医]坏疽
amortize,ə'mɔːtaɪz,v. 分期偿还；摊还 =amortise(英).
amortizing,ə'mɔːtaɪz,v. 分期偿还；摊还 =amortise(英).
amortization,əˌmɔːtaɪ'zeɪʃn,n. 分期偿还
mortician,mɔː'tɪʃn,n. 殡仪业者
mortuary,'mɔːtʃəri,n. 停尸间；太平间 adj. 与死有关的；丧葬的
post-mortem,ˌpəʊst'mɔːtəm,adj. 死后的；验尸的 n. 验尸；事后检讨
morbid,'mɔːbɪd,adj. 病态的；不正常的
morbidity,mɔː'bɪdəti,n. 病态；发病率
morbidly,'mɔːbɪdli,adv. 病态地
moribund,'mɒrɪbʌnd,adj. 垂死的；即将结束的
morgue,mɔːɡ,n. 陈尸所；资料室
comorbid,kemɔr'bid,n.共患疾病
comorbidity,kemɒr'bɪdətɪ,n. [医]合并症；共病
murder,'mɜːdə(r),n. 谋杀；谋杀案；要命的事 vt. 谋杀；糟蹋；损坏 vi. 谋杀
murderer,'mɜːdərə(r),n. 杀人犯；凶手
murderess,'mɜːdəres,n. murderer 的女性
murderous,'mɜːdərəs,adj. 蓄意谋杀的；行凶的；凶恶的；残忍的；要命的
murderously,'mɜːdərəs,adj. 蓄意谋杀的；行凶的；凶恶的；残忍的；要命的
murdered,'mɜːdə(r),n. 谋杀；谋杀案；要命的事 vt. 谋杀；糟蹋；损坏 vi. 谋杀
murdering,'mɜːdə(r),n. 谋杀；谋杀案；要命的事 vt. 谋杀；糟蹋；损坏 vi. 谋杀
murder-suicide,ˈmɜ:də(r)-ˈsu:ɪsaɪd,n.谋杀后自杀
murder-for-hire,ˈmɜ:də(r)-fə(r)-ˈhaɪə(r),n.雇凶杀人
double-murder,ˈdʌbl-ˈmɜ:də(r),n.双重谋杀

pan|面包
company,'kʌmpəni,n. 公司；商号；陪伴；同伴；客人；[军]连；一群 v. 陪伴
company-paid,'kʌmp(ə)nɪ-peɪd,adj.公司支付的
company-wide,'kʌmp(ə)nɪ-waɪd,adj.全公司的；公司性的；企业水平的
company-owned,'kʌmp(ə)nɪ-əʊnd,adj.公司所有的；公司自有的；公司拥有的
company-sponsored,'kʌmp(ə)nɪ-ˈspɔnsəd,adj.由公司出资的
oil-company,ɔɪl-'kʌmp(ə)nɪ,n.石油公司
big-company,bɪg-'kʌmp(ə)nɪ,n.大公司
small-company,smɔ:l-'kʌmp(ə)nɪ,n.小型公司
large-company,lɑ:dʒ-'kʌmp(ə)nɪ,n.大企业；大公司
accompany,ə'kʌmpəni,vt. 陪伴；伴随...发生；补充；给 ... 伴奏 vi. 伴奏
accompanist,ə'kʌmpənɪst,n. 伴奏者
accompanying,ə'kʌmpənɪɪŋ,adj. 陪伴的；附随的 动词accompany的现在分词.
accompaniment,ə'kʌmpənimənt,n. 伴唱（奏）；伴随物；补充物；伴随情况
accompanied,ə'kʌmpəni,vt. 陪伴；伴随...发生；补充；给 ... 伴奏 vi. 伴奏
unaccompanied,ˌʌnə'kʌmpənid,adj. 无伴侣的；不伴随的；无伴奏的
companion,kəm'pæniən,n. 同伴；志趣相投的人；成对物品之一；参考书 v. 陪伴
companionable,kəm'pæniənəbl,adj. 友善的；好交往的
companionably,kəm'pæniənəbli,adv. 友善地；适合做朋友地
companionship,kəm'pæniənʃɪp,n. 友谊；陪伴；交情
companionway,kəm'pæniənweɪ,n. 升降扶梯；甲板梯口
companionate,kəm'pænjənɪt,adj. 同伴的；友爱的；和谐的
pantry,'pæntri,n. 食品储藏室；餐具室
panification,pænɪfɪ'keɪʃən,n. 做面包
panivorous,pæ'nɪvərəs,adj. 以食面包为生的；食面包的
appanage,'æpənɪdʒ,的封地

cur|关心，挂念，注意
curious,'kjʊəriəs,adj. 好奇的；奇特的
incurious,ɪn'kjʊəriəs,adj. 无好奇心的；不感兴趣的；不关心的
curiously,'kjʊəriəsli,adv. 好奇地；奇异的
curiosity,ˌkjʊəri'ɒsəti,n. 好奇心；好奇；稀奇的人或物
incuriosity,ɪn'kjʊərɪ'ɒsɪtɪ,n. 无好奇心；无关心
curio,'kjʊəriəʊ,n. 古董
secure,sɪ'kjʊə(r),adj. 安全的；牢靠的；稳妥的 vt. 使安全；获得；固定
securely,sɪ'kjʊəlɪ,adv. 安全地；牢固地；确实地
insecure,ˌɪnsɪ'kjʊə(r),adj. 不安全的；不稳固的；不可靠的；缺乏安全感的；缺乏信心的
security,sɪ'kjʊərəti,n. 安全；保证；证券；债券；抵押；防护措施
insecurity,ˌɪnsɪ'kjʊərəti,n. 不安全；不牢靠；局促不安；心神不定
secured,sɪ'kjʊə(r),adj. 安全的；牢靠的；稳妥的 vt. 使安全；获得；固定
unsecured,'ʌnsɪ'kjʊəd,adj. 无担保的；不牢固的；未包装好的
securing,sɪ'kjʊəɪŋ,n. 固定 动词secure的现在分词形式.
securitization,sɪ'kjʊrətaɪz,n. 证券化
securities-fraud,sɪ'kjʊərɪtɪs-frɔ:d,n.证券欺诈
high-security,haɪ-sɪ'kjʊərətɪ,adj. 相当安全的
home-security,həʊm-sɪ'kjʊərətɪ,n.住宅安保
homeland-security,ˈhəʊmlænd-sɪ'kjʊərətɪ,n.国土安全；国家安全
maximum-security,ˈmæksɪməm-sɪ'kjʊərətɪ,n.最大安全性
minimum-security,ˈmæksɪməm-sɪ'kjʊərətɪ,
medium-security,ˈmi:diəm-sɪ'kjʊərətɪ,
social-security,ˈsəʊʃl-sɪ'kjʊərətɪ,n.社会保险，社会保障
computer-security,kəmˈpju:tə(r)-sɪ'kjʊərətɪ,n. [ 计 ]计算机安全
accurate,'ækjərət,adj. 准确的；精确的
accuracy,'ækjərəsi,n. 准确(性)；精确度
accurately,'ækjərətli,adv. 准确地；精确地
inaccurate,ɪn'ækjərət,adj. 不准确的；错误的
inaccuracy,ɪn'ækjərəsi,n. 不准确；错误
inaccurately,ɪn'ækjərətli,adv. 不正确地
cure,kjʊə(r),n. 治疗；治愈；疗法；对策 v. 治愈；治疗；纠正
n.治疗；治愈；,临床,疗法
cured,'kjʊəd,adj. 治愈的 动词cure的过去式和过去分词.
curable,'kjʊərəbl,adj. 可医治的；医得好的
incurable,ɪn'kjʊərəbl,adj. 不能医治的；不能矫正的；无救的 n. 不治的病人；无救的人
incurably,ɪn'kjʊərəbli,adv. 治不好地；不能矫正地
curate,'kjʊərət,n. 副牧师；助理牧师；瑕瑜互见之物 v. 管理(博物馆展品等)；担任牧师
curative,'kjʊərətɪv,adj. 治病的；有治病效力的 n. 药物；治疗法
curator,kjʊə'reɪtə(r),n. (博物馆、展览馆等的)馆长；管理者
curatorial,ˌkjʊərə'tɔːrɪəl,adj. 馆长的；管理者的
procurator,'prɒkjʊəreɪtə,n. 检察官；行政长官；代理人
